"ME_NUMERO","ME_CTR","ME_PLACA","ME_D_SAIDA","ME_K_SAIDA","ME_H_SAIDA","ME_T_SAIDA","ME_D_RET","ME_K_RET","ME_H_RET","ME_T_RET","ME_D_PREV","ME_H_PREV","ME_QUANT","ME_TIPOKM","ME_VALUNIT","ME_FRANQ","ME_KMEXCED","ME_HREXCED","ME_BONUS","ME_SEGURO","ME_TAXASER","ME_V_ANTEC","ME_CAUCAO","ME_PROTEC","ME_TAXAENT","ME_VAL_MOT","ME_EXT_MOT","ME_LIMITE","ME_AVARIAS","ME_PERDAT","ME_DM","ME_DP","ME_DPP","ME_LCE","ME_SUBST","ME_HORAS_MIN","ME_RETIRAR","ME_LOJA","ME_MOTOAD","ME_TIPOCTR","ME_DESCONTO","ME_DIAEXCED","ME_FRANQUIA_TER","ME_L_SAIDA","ME_L_PREV","ME_SAIUTMP","ME_CONDUTOR","CONTRATO_ID","DEVOLVIDO_AVARIAS","OBSERVACAO","OPERADOR","CODIGOGRUPO","ME_UPGRADE","ID_SUBSTITUICAO","ME_VALORPREVISTO","LOCACAO_ID","TIPOLOCACAO","QTD_HORAS_EXC","ME_TARIFA","OP_RECEBEU_VEICULO","CUPOM_PROMOCIONAL","STATUS","ME_RESERVA","MOVIMENTO_ID","MEDICAO","QTD_DIAS","ME_SUBSTITUTO","VE_TITULAR","ME_VALOR_AQUISICAO","VALOR_LOCACAO","VALOR_AQUISICAO","FRANQUIA_LOCACAO","LOCALIZACAO_ID","TIPO_DESCONTO","ME_SERVICOADICIONAL","CODIGONOTAFISCAL","SAIDA","RETORNO","PREVISAO","VALOR_REAJUSTADO","INDICE_REAJUSTE","INDICE","KM_RODADO"
31,"00003125001",TTU0I77,2025-03-28,1000,09:00:00,"0  ",,,,,2027-07-28,09:00:00,121,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,32,N,,,,0.0,,55380.0,,,0.0,,,,A,,,"001",852,,S,,455.0,0.0,,,,,,2025-03-28 09:00:00.000,,2027-07-28 09:00:00.000,,,,0
32,"00003225001",TTE7E44,2025-03-31,100,09:00:00,"0  ",,,,,2027-07-31,09:00:00,121,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,33,N,,,,0.0,,55380.0,,,0.0,,,,A,,,"001",852,,S,,455.0,0.0,,,,,,2025-03-31 09:00:00.000,,2027-07-31 09:00:00.000,,,,0
33,"00003325001",TTE7E41,2025-03-31,100,09:00:00,"0  ",,,,,2027-07-31,09:00:00,121,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,34,N,,,,0.0,,55380.0,,,0.0,,,,A,,,"001",852,,S,,455.0,0.0,,,,,,2025-03-31 09:00:00.000,,2027-07-31 09:00:00.000,,,,0
34,"00003425001",TTG0B75,2025-03-25,5041,09:00:00,"0  ",2025-04-11,16000,17:00:00,"0  ",2027-01-24,09:00:00,95,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,35,N,,,,0.0,,43550.0,,,0.0,,,,E,,,"001",17,,S,,455.0,0.0,,,,,,2025-03-25 09:00:00.000,2025-04-11 17:00:00.000,2027-01-24 09:00:00.000,,,,10959
35,"00003525001",TTI0B81,2025-03-25,10173,09:00:00,"0  ",2025-07-16,11000,12:41:00,"0  ",2027-01-23,09:00:00,95,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,36,N,,,,0.0,,43485.0,,,0.0,,,,E,,,"001",113,,S,,455.0,0.0,,,,,,2025-03-25 09:00:00.000,2025-07-16 12:41:00.000,2027-01-23 09:00:00.000,,,,827
36,"00003625001",TTE0H04,2025-03-25,5000,09:00:00,"0  ",,,,,2027-01-25,09:00:00,95,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,37,N,,,,0.0,,43615.0,,,0.0,,,,A,,,"001",671,,S,,455.0,0.0,,,,,,2025-03-25 09:00:00.000,,2027-01-25 09:00:00.000,,,,0
37,"00003725001",TTG5G18,2025-04-14,1,10:43:00,"0  ",2025-06-17,1,10:58:00,"0  ",2027-08-14,10:43:00,121,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,38,N,,,,0.0,,55380.0,,,0.0,,,,E,,,"001",64,,S,,455.0,0.0,,,,,,2025-04-14 10:43:00.000,2025-06-17 10:58:00.000,2027-08-14 10:43:00.000,,,,0
38,"00003825001",TTX0I46,2025-04-15,16,09:00:00,"0  ",2025-09-25,17254,16:17:00,"0  ",2027-08-15,09:00:00,121,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,39,N,,,,0.0,,55380.0,,,0.0,,,,E,,,"001",163,,S,,455.0,0.0,,,,,,2025-04-15 09:00:00.000,2025-09-25 16:17:00.000,2027-08-15 09:00:00.000,,,,17238
39,"00003925001",TTF8A61,2025-04-17,16,09:00:00,"0  ",,,,,2027-08-17,09:00:00,121,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,40,N,,,,0.0,,55380.0,,,0.0,,,,C,,,"001",852,,S,,455.0,0.0,,,,,,2025-04-17 09:00:00.000,,2027-08-17 09:00:00.000,,,,0
40,"00004025001",TTE8E22,2025-04-17,1,09:48:00,"0  ",,,,,2027-08-17,09:48:00,121,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,41,N,,,,0.0,,55380.0,,,0.0,,,,C,,,"001",852,,S,,455.0,0.0,,,,,,2025-04-17 09:48:00.000,,2027-08-17 09:48:00.000,,,,0
